"Clust","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Lat.100","Long.100","x","y"
"S.1135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,57.8817693541976,-4.06237868361306,277800.001040341,889900.001193404
"S.1136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.0747782039526,-4.01572996166793,277900.001048916,800000.001102929
"S.1137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,57.0747782039526,-4.01572996166793,277900.001048916,800000.001102929
"S.1138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.0748047185351,-4.01408157296622,278000.001048856,800000.00110119
"S.1139",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,57.0748047185351,-4.01408157296622,278000.001048856,800000.00110119
"S.114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.31981609,-4.823085914,230100.001136517,829000.003519859
"S.1140",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,57.0757024743486,-4.01413023855234,278000.001048848,800100.00110129
"S.1141",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,57.0748576826844,-4.01078478703262,278200.001048737,800000.001097755
"S.1142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.0868708254608,-3.98998052098779,279500.001047883,801300.00107727
"S.1143",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.780798476653,-4.02802325418304,279500.001040404,878600.001150297
"S.1146",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,57.7888772930498,-4.02847650848992,279500.001040308,879500.001151167
"S.1147",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,57.7888772930498,-4.02847650848992,279500.001040308,879500.001151167
"S.1148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.0879513997551,-3.97848563208568,280200.001047501,801400.00106614
"S.1149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.1651070665535,-3.985914128157,280000.001046842,810000.001077219
"S.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32040314,-4.824958316,229990.001181884,829070.003614986
"S.1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.3755192123036,-3.97565451978404,281300.001043971,833400.001077848
"S.1151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.0900578790435,-3.9587920305234,281400.001046879,801600.001047833
"S.1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.099959270849,-3.957663558751,281500.001046733,802700.001047306
"S.1153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.099959270849,-3.957663558751,281500.001046733,802700.001047306
"S.1154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.099959270849,-3.957663558751,281500.001046733,802700.001047306
"S.1155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,57.1071148608423,-3.95341754762622,281780.001046529,803489.001043824
