"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"S.1133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48365318775177,NA,NA
"S.1135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48486375808716
"S.1137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37399578094482,NA,NA,1.7786483168602,2.5141441822052,NA
"S.1138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48486375808716
"S.1139",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32862401008606,2.37399578094482,1.39585244655609,NA,NA,2.12334132194519,NA
"S.114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1140",NA,NA,NA,NA,NA,NA,NA,NA,1.2935756444931,NA,NA,NA,NA,1.48365318775177,2.5141441822052,2.47227501869202
"S.1141",NA,NA,NA,NA,NA,NA,NA,1.92173635959625,NA,NA,NA,NA,NA,NA,NA,2.47227501869202
"S.1142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51197195053101,NA,NA,NA,NA
"S.1143",NA,NA,NA,NA,NA,NA,NA,1.8487913608551,NA,NA,NA,NA,NA,NA,NA,NA
"S.1146",NA,NA,NA,NA,NA,NA,NA,2.60196304321289,2.8510000705719,NA,NA,NA,NA,NA,NA,NA
"S.1147",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51389598846436,5.53220891952515,NA,3.67657446861267,NA,NA,NA
"S.1148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97053706645966,NA,NA,NA,NA
"S.1149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83823442459106,NA,NA,NA,NA
"S.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15450239181519,NA,NA,NA,NA
"S.1151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73885631561279,NA,NA,NA,NA
"S.1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84819841384888,NA,NA,NA,NA
"S.1153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65227913856506,NA,NA,NA,NA
"S.1154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16128667195638,NA,NA,NA,NA
"S.1155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27678370475769,NA
"S.1156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27678370475769,NA
"S.1157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96735799312591,NA,NA,2.27678370475769,NA
"S.1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1159",NA,NA,NA,NA,NA,NA,NA,3.47490644454956,NA,NA,NA,NA,NA,NA,NA,NA
"S.116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71081399917603,NA,NA,NA
"S.1160",NA,NA,NA,NA,NA,NA,3.47588872909546,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1161",NA,NA,NA,NA,NA,NA,2.97290194034577,NA,3.37522745132446,NA,NA,NA,2.99388551712036,3.29338693618774,NA,NA
"S.1162",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06292486190796,NA,NA,NA,NA,NA,NA
"S.1163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51773977279663,NA,NA,NA,NA,NA
"S.1164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51773977279663,NA,NA,NA,NA,NA
"S.1165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.30108213424683,NA,NA,3.58501577377319,NA,NA
"S.1166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60885572433472,2.99063396453857,3.26158428192139,NA
"S.1167",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.90352201461792,NA,NA,NA,NA,NA,4.43155431747437
"S.1168",NA,NA,NA,NA,NA,NA,NA,2.97803378105164,NA,NA,NA,NA,NA,NA,NA,NA
"S.1169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88963401317597,5.31857204437256,NA,3.0259222984314,NA,NA
"S.117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71081399917603,NA,NA,3.66952085494995
"S.1170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75803875923157,NA,NA
"S.1171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53539514541626,NA,NA
"S.1172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03227376937866,NA,4.95473527908325,NA,5.37690877914429,6.35678911209106
"S.1173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2180401802063,5.33978676795959,4.85673856735229,NA,NA,NA
"S.1174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25555486679077,NA,NA,4.51482772827148,NA,4.49658679962158
"S.1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53539514541626,NA,NA
"S.1176",NA,NA,NA,NA,NA,5.20575618743896,NA,NA,NA,NA,4.03227376937866,6.15580940246582,NA,4.49426031112671,4.87221709887187,6.35678911209106
"S.1177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03227376937866,NA,NA,4.51482772827148,3.86283373832703,NA
"S.1179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73938536643982
"S.118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71081399917603,NA,NA,NA
"S.1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0438289642334,1.93531429767609,NA,NA,NA
"S.1181",NA,NA,NA,NA,NA,NA,NA,1.51570153236389,NA,NA,NA,NA,NA,NA,NA,NA
"S.1182",NA,NA,NA,NA,NA,NA,NA,1.51570153236389,NA,NA,NA,NA,NA,NA,NA,NA
"S.1183",NA,NA,NA,NA,NA,NA,NA,NA,1.40777349472046,NA,NA,NA,NA,NA,NA,NA
"S.1184",NA,NA,NA,NA,NA,NA,NA,1.51570153236389,NA,NA,NA,NA,NA,NA,NA,NA
"S.1185",NA,NA,NA,NA,NA,NA,NA,1.51570153236389,NA,NA,NA,NA,NA,NA,NA,NA
"S.1186",NA,NA,NA,NA,NA,NA,NA,NA,1.40777349472046,NA,NA,NA,NA,0.173886075615883,NA,NA
"S.1187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08669340610504,NA
"S.1188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00709927082062,NA,NA,NA
"S.1189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82528376579285,NA,NA
"S.119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71081399917603,NA,NA,NA
"S.1190",NA,3.61750030517578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09001278877258,NA,NA
"S.1191",NA,NA,NA,NA,NA,NA,NA,NA,1.66161847114563,NA,NA,NA,NA,0.941666662693024,NA,NA
"S.1192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68692803382874,NA,NA,NA
"S.1193",NA,NA,NA,NA,NA,NA,NA,1.86355876922607,NA,NA,NA,NA,NA,NA,NA,NA
"S.1194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25060391426086,NA,NA
"S.1195",NA,NA,NA,NA,NA,NA,NA,1.86355876922607,NA,NA,NA,NA,NA,NA,NA,NA
"S.1196",NA,NA,NA,NA,NA,NA,NA,1.86355876922607,NA,NA,NA,NA,NA,NA,NA,NA
"S.1197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76925992965698,NA,0.940551221370697,NA,NA
"S.1198",NA,NA,NA,NA,NA,NA,NA,NA,3.06271147727966,NA,NA,NA,NA,NA,NA,NA
"S.1199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228654965758324,NA,NA
"S.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38420375188192,NA,NA
"S.120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32808065414429,NA,NA,NA,NA
"S.1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71120309829712,NA,NA,NA,NA,NA,NA
"S.1201",NA,NA,NA,NA,NA,NA,NA,3.43939471244812,NA,NA,NA,NA,NA,NA,NA,NA
"S.1202",NA,NA,NA,NA,NA,NA,NA,NA,2.88111293315887,0.954779863357544,NA,NA,NA,NA,NA,NA
"S.1203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87547874450684,NA,1.95533645153046,NA,NA,NA
"S.1204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63008975982666,NA,NA,NA,NA,NA
"S.1205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85319471359253,3.39482569694519,NA,NA
"S.1206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68716263771057,NA,NA,NA
"S.1207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10426568984985,NA,NA,NA,NA,4.4748272895813
"S.1208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5332612991333,NA,2.4090564250946,NA,NA,NA
"S.1209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5332612991333,NA,NA,2.65770745277405,NA,NA
"S.121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23809957504272,2.14371180534363,NA,NA,NA
"S.1210",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46368885040283,NA,NA,NA,NA,NA,NA
